Autor,CoAutores,Publicacion,Revista,Paginas,Anho
Yván Túpac Valdivia,"Banda, J., Chuctaya, J.H.",Multiple Sequences Alignment using Traveling Salesman Problem and Order-based Evolutionary Algorithms,"Proceedings of CIBB 2012, the Ninth International Meeting on Computational Intelligence Methods for Bioinformatics and Biostatistics, Houston Texas (USA)",,2012
Dennis Barrios Aranibar,"Roy Perez-Pinto, Christian E. Portugal-Zambrano",Automatic classification of agro-industrial products through dynamic membership functions in Fuzzy logic systems: An approach to Scallops,CLEI,,2012
Cristian Jose Lopez Del Alamo,"Diego Aracena Pizarro, Ricardo Valdivia Pinto",Discovery of patterns in software metrics using clustering techniques,CLEI,1-7,2012
Cristian Jose Lopez Del Alamo,July Banda-Tapia,"Clustering of proteins based on their three-dimensional shape,using maximum common subgraph","International Society for Computational Biology - Latin America, P82",,2012
Erick Gomez Nieto,"Paulo Joia, João Batista Neto, Wallace Casaca, Glenda Botelho, Afonso Paiva, Luis Gustavo Nonato",Class-specific metrics for multidimensional data projection applied to CBIR,The Visual Computer 28(10),1027-1037,2012
Erick Gomez Nieto,"Wallace Casaca, Cynthia O. L. Ferreira, Geovan Tavares, Paulo A. Pagliosa, Fernando Vieira Paulovich, Luis Gustavo Nonato, Afonso Paiva",Colorization by Multidimensional Projection,SIBGRAPI,32-38,2012
José Eduardo Ochoa Luna,"Kate Revoredo, Fabio Gagliardi Cozman",An Experimental Evaluation of a Scalable Probabilistic Description Logic Approach for Semantic Link Prediction,URSW,63-74,2012
Cruz Torres Judith,,Análisis sobre el porcentaje graduados y titulados de la Facultad de Ciencias Naturales y Formales dentro del marco de los estándares de calidad universitaria,Presentado a la Unidad de Investigación de la Facultad de Ciencias Naturales y Formales de la Universidad Nacional de San Agustín,,2012
Ernesto Cuadros Vargas,"Álvarez, Humberto, Patiño Escarcina, R; Barrios Aranibar, D",The Ghost Tiger Virtual Parallel File System,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa-Peru",,2011
Alex Jesus Cuadros Vargas,"Luis Gustavo Nonato, Valerio Pascucci",Combinatorial Laplacian Image Cloning,SIBGRAPI,236-241,2011
Yván Túpac Valdivia," Almeida, L. F.",Parallel Evolutionary Algorithms applied to optimize the oilfields development,Proceedings of the XXIII Encuentro Chileno de Computación (ECC'2011),,2011
Yván Túpac Valdivia,"Herbert Chuctaya, Christian Portugal, Cesar Beltran, Juan Gutierrez, Cristian Lopez",M-CBIR: A Medical Content-Based Image Retrieval System Using Metric Data-Structures.,SCCC,135-141,2011
Yván Túpac Valdivia,"Bokan, A., Patiño, R.",Validación de Clusters usando IEKA y SL-SOM,"Proceedings del X Congreso de la Sociedad Peruana de Computación, Pucallpa, Peru",,2011
Juan Carlos Gutierrez Caceres,"Herbert Chuctaya, Christian Portugal, Cesar Beltran,Cristian Lopez, Yvan Tupac",M-CBIR: A Medical Content-Based Image Retrieval System Using Metric Data-Structures,SCCC,135-141,2011
Juan Carlos Gutierrez Caceres,Cayllahua Edward,Chaotic associative memory using sine map,INNS International Educational Symposium on Neural Networks,,2011
Juan Carlos Gutierrez Caceres,"Luis A. Alfaro Casas, José Herrera Quispe. Jorge L. Suaña Ch. Henry Gallegos Velgara",Optimal calibration of  Parameter of a Conceptual Rainfall-Runoff Model Using Genetic Algorithm,Int'l Conf. Genetic and Evolutionary Methods (GEM'11),,2011
Juan Carlos Gutierrez Caceres,"Humpire G., Chuctaya J., Bruno O., Beltrán C.",Sistema automatico de diagnóstico de parásitos Helmintos,Visão Computacional em Bioinformática WVC,,2011
Juan Carlos Gutierrez Caceres,"Herrera-Quispe J., Suaña J., Gellegos-Velgara H",Calibration of Parameter of a Rainfall-Runoff GR4J Model Using Genetic Algorithm,Jornadas Chilenas de Computación,,2011
Dennis Barrios Aranibar,"Sonia Castelo Quispe, July Diana Banda Tapia, Monika N. Lopez Paredes, Raquel E. Patiño-Escarcina",Automation of the brazil-nuts classification process using dynamic level set,HIS,540-545,2011
Dennis Barrios Aranibar,"Alexander Rodriguez, Alicia Diaz-Zea, Roxana Flores, Medardo Delgado, Raquel Patiño",Argopecten Purpuratus Codification Based on Determination of Weight by Conversion and Adjustment Factors.,SCCC,147-152,2011
Dennis Barrios Aranibar,"Perez-Pinto, R.; Castelo-Quispe, S; Urquizo,Jorge L.; Casas, Luis A. A.",Motor de Inferencia Difuso con Funciones de Pertenencia Dinámicas para el Codificado de Conchas de Abanico,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa – Perú",,2011
Dennis Barrios Aranibar,"Velazco, Yuber, Huachani, Angel, Urquizo,Jorge L., Patiño-Escarcina, R.;",Determinación Automática de umbrales por medio del algoritmo de agrupamiento Kmedias para la segmentación de castañas,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa – Perú",,2011
Dennis Barrios Aranibar,"Zegarra, Emmil E. C.",Control Desacoplado en Brazos Manipuladores Utilizando Aprendizaje por Refuerzo con Valores de Influencia,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa – Perú",,2011
Dennis Barrios Aranibar,"Álvarez, Humberto, Cuadros Vargas E., Patiño Escarcina, R",The Ghost Tiger Virtual Parallel File System,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa – Perú",,2011
Raquel Patiño Escarcina,"Alessandro Bokan Garay, Guillermo Ponce Contreras",A GH-SOM optimization with SOM labelling and dunn index,HIS,572-577,2011
Raquel Patiño Escarcina,"Yuber Velazco-Paredes, Roxana Flores-Quispe, Cesar Beltran-Castanon",Relevance Feedback through the Generation of Trees for Image Retrieval Based on Multitexton Histogram,SCCC,1-7,2011
Raquel Patiño Escarcina,"Rodríguez, A.; Díaz-Zea, A; Flores, R.; Barrios-Aranibar, D",Determinación de la trayectoria de paso del Venturi para la succión de las branquias de la Concha de Abanico usando Visión Computacional,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa – Perú",,2011
Raquel Patiño Escarcina,"Bokan, A., Túpac, Y.",Validación de Clusters usando IEKA y SL-SOM,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa – Perú",161-170,2011
Raquel Patiño Escarcina,"Álvarez, Humberto, Cuadros Vargas E., Barrios Aranibar, D",The Ghost Tiger Virtual Parallel File System,"X Congreso de la Sociedad Peruana de Computación, CSPC, Pucallpa – Perú",,2011
Javier Tejada Cárcamo,"Roque Enrique López, Dennis Barreda, Ernesto Cuadros",MFSRank: An Unsupervised Method to Extract Keyphrases Using Semantic Information,MICAI (1),338-344,2011
Cristian Jose Lopez Del Alamo,"Herbert Chuctaya, Christian Portugal, Cesar Beltran, Juan C. Gutierrez, Yvan Tupac",M-CBIR: A Medical Content-Based Image Retrieval System Using Metric Data-Structures,SCCC,135-141,2011
Cristian Jose Lopez Del Alamo,,Reconocimiento de Patrones Utilizando Grafos,"Congreso Internacional Sudamericano de Ingeniería de Sistemas, computación e Informática, Puno",,2011
Erick Gomez Nieto,"Paulo Joia, Glenda Botelho, João do E. S. Batista Neto, Afonso Paiva, Luis Gustavo Nonato",Projection-Based Image Retrieval Using Class-Specific Metrics,SIBGRAPI,125-132,2011
José Eduardo Ochoa Luna,"Kate Revoredo, Fabio Gagliardi Cozman",Learning Probabilistic Description Logics: A Framework and Algorithms,MICAI (1),28-39,2011
José Eduardo Ochoa Luna,"Kate Revoredo, Fabio Gagliardi Cozman",Semantic Link Prediction through Probabilistic Description Logics,URSW,87-97,2011
Regina Ticona Herrera,Lovón Alvarado G. y Patiño Escarcina R.,Modelo Difuso para la Fundamentación en Sentencias Penales,Encuentro Chileno de Computación ECC,,2011
Yuber Velazco Paredes,"Roxana Flores-Quispe, Raquel E. Patiño-Escarcina, Cesar Beltran-Castanon",Relevance Feedback through the Generation of Trees for Image Retrieval Based on Multitexton Histogram,SCCC,1-7,2011
